frame,time_sec,timecode,gray_diff,hist_diff,edge_diff,composite
348,14.515,00:14.51,0.006493,0.042954,0.000625,0.018668
349,14.556,00:14.56,0.004336,0.029403,0.000625,0.012738
350,14.598,00:14.60,0.005495,0.042298,0.000579,0.017884
351,14.64,00:14.64,0.004534,0.061858,0.000648,0.024209
352,14.681,00:14.68,0.005648,0.06553,0.000625,0.026104
353,14.723,00:14.72,0.340969,0.869842,0.033519,0.49533
354,14.765,00:14.76,0.323376,0.748079,0.060069,0.445692
355,14.806,00:14.81,0.040279,0.102988,0.039838,0.062183
356,14.848,00:14.85,0.02436,0.11465,0.021806,0.055706
357,14.89,00:14.89,0.00615,0.029772,0.000949,0.013898
358,14.932,00:14.93,0.011615,0.048763,0.00787,0.024243
359,14.973,00:14.97,0.008559,0.032163,0.0025,0.016215
360,15.015,00:15.02,0.010601,0.047644,0.008403,0.023346
361,15.057,00:15.06,0.007681,0.05314,0.00206,0.02303
362,15.098,00:15.10,0.01301,0.044763,0.00831,0.023654
363,15.14,00:15.14,0.007185,0.023684,0.001759,0.012417
364,15.182,00:15.18,0.013404,0.038764,0.008843,0.021824
365,15.224,00:15.22,0.010009,0.054301,0.004097,0.02492
366,15.265,00:15.27,0.016053,0.060769,0.011875,0.031286
367,15.307,00:15.31,0.012819,0.064484,0.006528,0.030273
368,15.349,00:15.35,0.019205,0.077964,0.017454,0.039596
369,15.39,00:15.39,0.017702,0.050313,0.013588,0.028705
370,15.432,00:15.43,0.024754,0.05602,0.024306,0.035652
371,15.474,00:15.47,0.021649,0.04256,0.02125,0.028928
372,15.516,00:15.52,0.034359,0.059209,0.031551,0.042776
373,15.557,00:15.56,0.026032,0.046236,0.028426,0.033343
374,15.599,00:15.60,0.03323,0.044652,0.039838,0.037888
375,15.641,00:15.64,0.0428,0.053594,0.032477,0.045546
376,15.682,00:15.68,0.045938,0.058298,0.052384,0.050909
377,15.724,00:15.72,0.05341,0.051993,0.05294,0.052867
378,15.766,00:15.77,0.063893,0.060925,0.065625,0.063027
379,15.807,00:15.81,0.069522,0.050129,0.068056,0.062587
380,15.849,00:15.85,0.081794,0.046872,0.086134,0.070005
381,15.891,00:15.89,0.097925,0.057005,0.088704,0.082681
382,15.933,00:15.93,0.103719,0.058339,0.104653,0.087929
383,15.974,00:15.97,0.114489,0.070825,0.103704,0.098128
384,16.016,00:16.02,0.117408,0.068974,0.114676,0.100183
385,16.058,00:16.06,0.121142,0.067862,0.111597,0.10154
386,16.099,00:16.10,0.117977,0.096763,0.122477,0.111002
387,16.141,00:16.14,0.128773,0.091806,0.127315,0.115688
388,16.183,00:16.18,0.122413,0.080888,0.130856,0.108723
389,16.225,00:16.22,0.115513,0.063622,0.127222,0.098522
390,16.266,00:16.27,0.105603,0.077637,0.129653,0.09822
391,16.308,00:16.31,0.097764,0.061282,0.129491,0.088168
392,16.35,00:16.35,0.105868,0.078304,0.13,0.098634
393,16.391,00:16.39,0.091903,0.066902,0.124444,0.086407
394,16.433,00:16.43,0.082154,0.079205,0.132269,0.086133
395,16.475,00:16.47,0.080611,0.039256,0.131713,0.071247
396,16.517,00:16.52,0.088872,0.212132,0.135532,0.136679
397,16.558,00:16.56,0.077793,0.048061,0.135718,0.073179
398,16.6,00:16.60,0.084451,0.059563,0.137662,0.081061
399,16.642,00:16.64,0.067344,0.026611,0.128449,0.059198
400,16.683,00:16.68,0.080776,0.043729,0.129514,0.072683
401,16.725,00:16.73,0.084387,0.152805,0.153264,0.115221
402,16.767,00:16.77,0.060838,0.114439,0.112292,0.084744
403,16.808,00:16.81,0.070354,0.160298,0.095255,0.104324
404,16.85,00:16.85,0.057795,0.238566,0.075856,0.122871
405,16.892,00:16.89,0.0553,0.270474,0.066736,0.131754
406,16.934,00:16.93,0.041606,0.279726,0.053495,0.126137
407,16.975,00:16.98,0.034851,0.302171,0.044676,0.129396
408,17.017,00:17.02,0.030578,0.285658,0.039676,0.120766
409,17.059,00:17.06,0.018236,0.060366,0.032569,0.034415
410,17.1,00:17.10,0.018098,0.055168,0.02838,0.032101
411,17.142,00:17.14,0.012643,0.034419,0.026065,0.021607
412,17.184,00:17.18,0.01292,0.034936,0.021782,0.021512
413,17.226,00:17.23,0.01177,0.043378,0.018819,0.023538
414,17.267,00:17.27,0.012868,0.033572,0.018125,0.02064
415,17.309,00:17.31,0.01011,0.021339,0.016551,0.014684
416,17.351,00:17.35,0.011261,0.038653,0.015231,0.021245
417,17.392,00:17.39,0.009037,0.019291,0.015787,0.013301
418,17.434,00:17.43,0.009391,0.021661,0.016458,0.014393
419,17.476,00:17.48,0.014017,0.030398,0.020301,0.020379
420,17.518,00:17.52,0.014889,0.030447,0.02287,0.021133
421,17.559,00:17.56,0.01564,0.024781,0.024861,0.019761
422,17.601,00:17.60,0.014624,0.043712,0.027963,0.026139
423,17.643,00:17.64,0.015577,0.01596,0.029144,0.017068
424,17.684,00:17.68,0.01778,0.035678,0.02956,0.025222
425,17.726,00:17.73,0.017501,0.020443,0.030185,0.019799
426,17.768,00:17.77,0.023515,0.042355,0.037407,0.031498
427,17.809,00:17.81,0.019385,0.01844,0.034468,0.020562
428,17.851,00:17.85,0.019162,0.045419,0.035718,0.030007
429,17.893,00:17.89,0.016504,0.021367,0.034653,0.020021
430,17.935,00:17.93,0.011619,0.032831,0.03463,0.021344
431,17.976,00:17.98,0.011636,0.024163,0.032546,0.018111
432,18.018,00:18.02,0.012603,0.022674,0.03331,0.018198
